Date,Close
1/2/01,400.9
1/3/01,401.68
1/4/01,400.51
1/5/01,401.92
1/8/01,400.42
1/9/01,399.73
1/10/01,395.55
1/11/01,394.5
1/12/01,395.89
1/16/01,396.72
1/17/01,397.82
1/18/01,399.7
1/19/01,399.79
1/22/01,400.42
1/23/01,402.09
1/24/01,399.79
1/25/01,398.82
1/26/01,395.49
1/29/01,394.42
1/30/01,398.83
1/31/01,398.02
2/1/01,401.11
2/2/01,399.61
2/5/01,399.76
2/6/01,397.91
2/7/01,396.8
2/8/01,392.9
2/9/01,392.66
2/12/01,396.74
2/13/01,396.13
2/14/01,396.45
2/15/01,390.12
2/16/01,397.66
2/20/01,394.49
2/21/01,396.62
2/22/01,397.88
2/23/01,401.2
2/26/01,406.3
2/27/01,409.18
2/28/01,409.89
3/1/01,410.46
3/2/01,404.85
3/5/01,406.22
3/6/01,399.66
3/7/01,405.15
3/8/01,410.26
3/9/01,419.07
3/12/01,421.48
3/13/01,411.92
3/14/01,408.81
3/15/01,405.62
3/16/01,405.05
3/19/01,406.89
3/20/01,407.8
3/21/01,412.64
3/22/01,410.34
3/23/01,409.17
3/26/01,407.82
3/27/01,409.28
3/28/01,406.35
3/29/01,407.3
3/30/01,406.59
4/2/01,404.24
4/3/01,404.92
4/4/01,406.67
4/5/01,406.2
4/6/01,406.82
4/9/01,404.16
4/10/01,400.34
4/11/01,404.28
4/12/01,406.41
4/16/01,411.34
4/17/01,408.54
4/18/01,408.73
4/19/01,410.81
4/20/01,409.15
4/23/01,408.39
4/24/01,408.25
4/25/01,406.38
4/26/01,407.9
4/27/01,407.06
4/30/01,405.34
5/1/01,405.27
5/2/01,406.56
5/3/01,408.25
5/4/01,408.57
5/7/01,410.39
5/8/01,408.85
5/9/01,415.51
5/10/01,415.28
5/11/01,415.48
5/14/01,416.68
5/15/01,414.44
5/16/01,418.65
5/17/01,420.34
5/18/01,440.87
5/21/01,438.74
5/22/01,439.22
5/23/01,439.96
5/24/01,431.64
5/25/01,429.52
5/29/01,420.71
5/30/01,410.09
5/31/01,408.15
6/1/01,409.34
6/5/01,406.83
6/6/01,404.85
6/7/01,404.75
6/8/01,414.87
6/11/01,407.08
6/12/01,413.87
6/13/01,412.56
6/14/01,418.64
6/15/01,413.35
6/18/01,417.86
6/19/01,419.45
6/20/01,417.66
6/21/01,415.3
